"Story","Title","Result","Date","Stability","Duration (s)"
"verificar funcionalidad servicio al cliente","Envio exitoso del mensaje","SUCCESS","2022-03-27T03:08:27.643-05:00[America/Bogota]","0.0","45.89"
"verificar funcionalidad servicio al cliente","Envio erroneo del mensaje","SUCCESS","2022-03-27T03:09:15.18-05:00[America/Bogota]","0.0","46.6"
